sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
S001,DrugA,0,1,100
S002,DrugA,0,2,98
S003,DrugA,0,3,102
S004,DrugA,0.01,1,96
S005,DrugA,0.01,2,94
S006,DrugA,0.01,3,95
S007,DrugA,0.1,1,87
S008,DrugA,0.1,2,85
S009,DrugA,0.1,3,89
S010,DrugA,1,1,63
S011,DrugA,1,2,60
S012,DrugA,1,3,65
S013,DrugA,10,1,30
S014,DrugA,10,2,28
S015,DrugA,10,3,33
S016,DrugB,0,1,100
S017,DrugB,0,2,101
S018,DrugB,0,3,99
S019,DrugB,0.01,1,99
S020,DrugB,0.01,2,97
S021,DrugB,0.01,3,98
S022,DrugB,0.1,1,92
S023,DrugB,0.1,2,90
S024,DrugB,0.1,3,91
S025,DrugB,1,1,75
S026,DrugB,1,2,72
S027,DrugB,1,3,74
S028,DrugB,10,1,45
S029,DrugB,10,2,47
S030,DrugB,10,3,44
