sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
S001,DrugA,0,1,100
S002,DrugA,0,2,99
S003,DrugA,0,3,101
S004,DrugA,0.01,1,97
S005,DrugA,0.01,2,96
S006,DrugA,0.01,3,98
S007,DrugA,0.1,1,90
S008,DrugA,0.1,2,88
S009,DrugA,0.1,3,89
S010,DrugA,1,1,72
S011,DrugA,1,2,70
S012,DrugA,1,3,71
S013,DrugA,10,1,47
S014,DrugA,10,2,46
S015,DrugA,10,3,48
S016,DrugB,0,1,100
S017,DrugB,0,2,98
S018,DrugB,0,3,101
S019,DrugB,0.01,1,98
S020,DrugB,0.01,2,97
S021,DrugB,0.01,3,99
S022,DrugB,0.1,1,91
S023,DrugB,0.1,2,89
S024,DrugB,0.1,3,90
S025,DrugB,1,1,74
S026,DrugB,1,2,72
S027,DrugB,1,3,73
S028,DrugB,10,1,49
S029,DrugB,10,2,47
S030,DrugB,10,3,48
