sample_id,drug_name,concentration_uM,replicate,cell_viability_percent
S001,DrugA,0,1,100
S002,DrugA,0,2,99
S003,DrugA,0,3,101
S004,DrugA,0.01,1,99
S005,DrugA,0.01,2,98
S006,DrugA,0.01,3,100
S007,DrugA,0.1,1,97
S008,DrugA,0.1,2,96
S009,DrugA,0.1,3,98
S010,DrugA,1,1,95
S011,DrugA,1,2,94
S012,DrugA,1,3,96
S013,DrugA,10,1,91
S014,DrugA,10,2,90
S015,DrugA,10,3,92
S016,DrugB,0,1,100
S017,DrugB,0,2,100
S018,DrugB,0,3,99
S019,DrugB,0.01,1,100
S020,DrugB,0.01,2,99
S021,DrugB,0.01,3,99
S022,DrugB,0.1,1,98
S023,DrugB,0.1,2,98
S024,DrugB,0.1,3,97
S025,DrugB,1,1,96
S026,DrugB,1,2,95
S027,DrugB,1,3,96
S028,DrugB,10,1,93
S029,DrugB,10,2,92
S030,DrugB,10,3,94
